2025-06-02 15:58:17 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:58:46 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:46 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:46 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:58:46 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:58:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:58:46 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:58:47 Line: 313, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 58/2025
2025-06-02 15:58:47 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:58:47 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:47 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:58:48 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:58:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:58:48 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:58:48 Line: 313, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 59/2025
2025-06-02 15:58:48 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:58:48 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:48 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:50 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:51 Line: 107, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: PA 58/2025
2025-06-02 15:58:51 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:58:52 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:53 Line: 107, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: PA 59/2025
2025-06-02 15:58:53 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 16:07:54 Line: 11, : Request start: 127.0.0.1
2025-06-02 16:07:54 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 16:07:55 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 16:07:55 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 16:07:55 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 16:07:56 Line: 313, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 60/2025
2025-06-02 16:07:56 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 16:07:58 Line: 11, : Request start: 127.0.0.1
2025-06-02 16:07:59 Line: 107, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: PA 60/2025
2025-06-02 16:07:59 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 16:09:06 Line: 11, : Request start: 127.0.0.1
2025-06-02 16:09:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 16:09:06 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
